1213	1
6406	736
1439	1
4091	2
436	1
8551	10
3500	15
8381	5
237	5
2366	75
25	1
5044	167
162	1
8254	11
1696	1
14426	40
12647	36
3931	1
1624	20
5241	328
2896	20
5232	4
25	1
6030	79
6923	162
5660	1
436	1
6517	209
13606	5441
1126	21
1667	2
2301	20
10315	42
7346	146
5786	7
10739	17
9763	86
2817	8
1176	25
10806	37
64	1
3200	9174
64	1
8321	5220
34	1
5323	1
11024	952
4057	1
165	3
57	52
509	161
12829	46
3375	5
3284	1
64	1
7920	110
4004	21
2104	35
2609	2
2723	88
7719	23
9781	1672
186	14
7002	2
339	14
156	73
3796	14
7554	71
64	1
3631	88
995	1
4417	4
2696	467
5431	25
1763	107
2431	13
143	1
8742	37
660	2
4396	83
66	1
8391	21
7086	1
2464	1
1306	8
2047	4
451	13
8491	111
341	1
6698	2
5541	460
5851	5
9865	18
1348	33
1883	3
8301	522
436	1
2054	1082
1062	13
11316	197
12172	157
1179	1
92	1
4509	19
1213	8
12360	873
10989	1
5916	1
5109	10
12989	1
6635	178
601	19
3407	369
9350	70
12525	3
3198	116
9147	1
8726	1
386	1
6336	32
1962	4
2640	451
12840	73
1930	1
204	13
6679	81
64	1
4947	4069
550	880
1179	1
3004	705
2355	791
9129	20
1636	24
6763	92
3433	507
25	1
7276	26
9017	304
242	14
366	13
1796	1
138	1
9621	25
12528	398
7337	392
472	2
6838	10
94	2
6216	6
6608	99
6582	24
642	5
4417	19
1617	75
2118	15
7163	4
1306	9
1800	561
2312	103
4909	11
4332	42
5989	1
2695	1
1924	1
8323	1
5663	3
10361	2
2372	8
4543	24
34	1
2313	180
5951	1
247	1
1061	1
4476	1
4484	113
910	9
5458	1010
7347	2090
12015	42
10486	39
1667	2
1534	165
313	21
141	1
3333	3
997	9
13860	235
13160	429
13043	15
9926	5
3914	1048
40	2227
395	5
9156	2284
865	6
10443	174
992	1
1065	29
10482	168
34	2
3127	5
5711	1
13769	109
6776	2074
4464	76
4746	15
395	1
1874	8
600	1
510	15
2320	35
894	12
5853	39
5239	1
1329	1
5987	118
8138	34
5232	4
34	2
3783	1597
2724	1
8669	11
2019	5
6749	136
4458	8
7282	465
2669	45
8941	338
3362	4
4813	148
11582	7
6617	1
4374	10
5778	1030
34	1
43	10
4104	72
1329	1
7834	260
590	3
344	1
2654	3
4222	2
8693	78
2426	5
3799	429
4068	3164
4875	342
1395	128
11129	188
820	2
1954	109
2372	25
6489	648
10614	1186
881	4
657	13
3959	76
10299	27
4915	87
12216	301
5472	10
25	1
2380	47
5869	2
6617	1
6621	12
11402	4
165	2
3125	83
5356	706
9944	1303
2317	78
11307	173
11578	4
122	14
1883	2
24	159
138	1
7514	51
7729	167
2403	11
385	119
1195	2125
2591	1
1626	1
1132	1
10932	9
977	11
7767	174
8815	20
4423	385
7454	1074
5086	315
2514	1
5717	1
1624	14
6349	48
2440	1
8701	4
8061	60
7993	585
3825	5
5910	49
1879	5
5004	519
1715	1
6818	2
346	1
11109	9
594	30
6384	7
1278	2
996	2
94	2
236	10
1883	1
10784	394
11877	18
1955	33
776	1
6681	972
1004	4
367	4316
1674	5
2640	2
9908	437
6785	10
10460	79
4238	7
2609	39
1016	1
922	299
1376	4
517	8
2023	78
864	1
8333	2
1640	31
828	1
2744	64
2431	62
820	1
7346	9
8323	86
2168	2786
7442	3
1748	1
165	2
2555	477
34	1
12989	30
447	1088
8204	64
168	15
679	7
6847	3
10395	14
494	735
9709	144
8316	14
1129	1
1082	3
